transaction_id,user_id,amount
149720,1,75.63
152024,1,334.01
14316,2,18.22
55119,2,78.63
55765,2,260.71
7022,3,318.28
149678,3,312.12
186686,3,300.47
54191,4,276.18
95928,4,102.59
133704,4,161.73
180398,5,409.12
184276,5,312.77
139887,6,306.9
162488,6,376.0
80249,7,147.34
10350,8,84.54
138224,8,457.63
72346,10,463.24
15909,11,138.06
118396,11,23.52
150689,11,214.21
11896,12,56.78
19934,12,17.31
28405,12,292.71
71479,16,452.72
78496,16,259.33
83276,16,259.54
145268,16,362.31
146184,16,96.03
4833,17,494.07
181989,17,149.35
39501,18,83.81
41099,18,125.47
79238,18,437.7
136948,18,139.82
186583,19,417.14
54160,20,207.02
79994,20,330.39
127972,20,71.33
39555,21,99.78
116734,21,209.24
135316,21,340.48
185615,21,58.32
52660,22,401.59
182902,22,463.02
39171,23,211.83
118361,23,191.37
129380,23,493.29
91124,24,231.75
132714,24,266.29
175447,24,302.94
37,25,390.78
11634,25,240.83
43515,25,23.12
62752,25,238.55
146525,25,256.35
88855,26,242.27
92870,26,21.83
153843,26,32.12
184297,27,387.43
123345,28,91.56
182092,28,353.61
71899,30,393.19
21013,31,98.88
29247,31,69.81
111685,31,83.19
150916,31,233.16
194109,31,195.31
92978,33,217.71
145622,33,147.06
146984,34,191.57
19564,35,497.83
41878,35,110.03
62657,35,413.76
71679,35,63.66
171811,36,170.54
145372,37,363.62
180912,37,457.96
182252,37,74.55
7737,38,60.03
74411,38,378.92
184965,38,15.06
196369,38,320.87
805,40,247.63
75566,40,262.7
12773,41,346.79
113373,41,170.94
143342,41,266.7
71383,43,358.32
93507,43,70.73
23805,44,138.41
161444,44,48.01
169149,44,99.8
170572,44,473.69
5559,45,28.02
145014,45,416.57
170973,45,424.96
49200,46,200.75
77835,47,36.27
104550,48,209.26
9389,50,444.85
102531,50,51.22
160361,50,194.64
141507,51,67.05
31941,52,36.45
93194,52,194.05
188802,52,454.69
37039,53,43.96
31583,54,41.78
187187,54,411.94
42647,55,189.11
54101,56,493.09
96811,57,86.81
19456,58,338.06
172666,58,197.07
143062,59,122.71
159814,59,143.69
174682,59,308.16
87820,60,465.59
123247,60,266.96
153312,60,392.5
185972,60,188.8
139447,61,79.84
195048,62,288.83
1662,63,483.94
2100,63,268.08
18084,63,76.04
74230,63,478.68
105939,63,416.16
140033,63,244.13
167190,64,185.22
5261,65,375.8
72426,65,93.38
162173,65,391.03
163335,66,389.28
50362,67,297.99
132465,67,472.51
43651,68,482.42
87863,69,94.84
124021,70,351.28
82415,71,311.88
169604,71,131.98
181748,71,158.45
51441,72,224.11
76215,72,97.67
27043,73,235.48
36311,73,307.6
99655,74,491.13
144697,74,279.33
20377,75,56.74
115829,75,109.93
187424,75,478.14
71743,76,50.97
99336,76,320.93
165002,78,317.71
46902,80,137.98
81510,80,341.85
161163,80,248.44
187172,80,217.2
107975,81,407.62
128444,81,447.15
151670,81,176.66
183493,81,376.08
157411,82,292.77
176036,82,114.32
112487,83,364.48
148370,83,388.92
98325,84,287.5
190758,84,237.87
18105,85,195.31
9684,86,345.3
36387,86,190.27
40805,86,369.7
123996,86,474.53
147335,86,282.95
71219,89,212.99
88376,91,138.0
169759,91,448.21
75881,92,342.04
160664,93,44.46
193030,93,103.88
4632,94,311.18
129668,94,39.17
141065,94,218.37
51573,95,14.55
101500,95,161.29
21651,97,67.03
31772,97,369.77
48492,97,251.6
56209,97,61.41
107815,97,150.06
163105,97,324.8
3259,98,82.28
49110,98,414.18
144453,99,287.5
157792,100,273.34
12926,101,471.4
98997,101,411.69
153520,101,342.29
198213,101,176.19
60270,102,268.0
137222,103,6.26
10831,104,195.96
21539,104,462.89
77691,104,356.27
58550,105,299.16
122910,105,36.95
185131,105,342.01
190303,106,200.76
143081,107,414.8
972,108,495.57
142288,108,180.16
40178,109,306.77
73087,110,13.14
141467,111,70.61
78037,112,401.79
90166,112,460.05
168985,113,465.29
51791,114,437.76
90932,114,144.83
53673,115,312.28
57880,115,86.55
135807,115,158.82
35702,116,32.94
60644,116,54.67
129954,116,479.31
293,117,482.72
9590,117,442.01
11083,117,124.06
66709,118,284.46
23056,119,488.22
50481,119,466.67
53765,119,203.3
77362,119,128.86
121401,119,15.14
198358,119,403.89
45339,120,46.9
172058,120,137.05
45854,121,382.95
151269,121,499.85
4036,122,209.48
121151,122,180.18
142467,124,185.33
