transaction_id,user_id,amount
1,46752,128.88
2,54645,410.39
3,39330,393.0
4,39263,426.81
5,60708,431.14
6,62752,134.85
7,75797,62.23
8,52260,164.51
9,24104,407.7
10,48303,130.48
11,86242,129.8
12,9306,440.65
13,57498,365.31
14,29389,156.37
15,25169,252.84
16,9111,250.55
17,65711,259.41
18,5299,81.08
19,8321,191.45
20,95084,118.2
21,40326,308.37
22,86597,61.36
23,58642,498.38
24,82579,354.47
25,4008,424.34
26,5051,463.88
27,85445,485.35
28,67121,288.22
29,85885,81.1
30,11822,287.0
31,10803,168.49
32,10557,274.3
33,50153,432.53
34,75618,20.1
35,64127,357.78
36,34308,380.39
37,32082,266.53
38,68680,209.7
39,48990,291.96
40,11484,401.6
41,11076,76.87
42,65199,197.97
43,85401,285.29
44,65970,492.84
45,57655,341.05
46,94322,24.94
47,97392,193.33
48,41165,421.17
49,79652,118.12
50,42378,470.18
51,86950,351.33
52,134,172.64
53,1131,181.81
54,97713,351.36
55,244,92.7
56,51230,311.81
57,81015,364.94
58,88258,373.82
59,18442,73.38
60,91675,463.98
61,14471,443.38
62,98149,494.14
63,72893,255.38
64,15901,384.51
65,19610,58.08
66,51175,7.63
67,22013,359.42
68,70013,420.59
69,79048,479.6
70,55428,30.17
71,73583,395.86
72,14258,131.59
73,84734,80.58
74,41361,494.26
75,41435,294.82
76,67941,150.81
77,51906,59.39
78,62598,483.38
79,31507,221.03
80,23660,298.56
81,5592,289.69
82,90985,235.33
83,38211,328.89
84,9221,273.11
85,50429,87.5
86,28366,451.82
87,42701,161.42
88,97705,215.59
89,65023,391.11
90,37661,414.23
91,55109,451.26
92,39724,27.52
93,74785,201.46
94,47154,497.07
95,85547,364.17
96,76802,121.86
97,17713,215.86
98,13695,51.93
99,66286,431.72
100,23103,470.22
101,49422,92.74
102,11938,71.88
103,67955,497.08
104,78777,434.99
105,41944,352.0
106,44555,464.66
107,1665,109.28
108,59256,43.14
109,13507,313.96
110,56024,452.45
111,19877,111.65
112,52541,182.49
113,78329,243.53
114,33698,278.34
115,29093,80.16
116,88512,374.23
117,77757,53.73
118,44803,93.46
119,7879,298.19
120,45633,265.35
121,68852,251.4
122,74751,119.06
123,83375,451.26
124,10422,425.29
125,27187,321.37
126,23265,310.76
127,96267,325.92
128,40715,297.01
129,67821,260.22
130,31771,293.87
131,31540,160.47
132,93461,217.12
133,37265,384.77
134,69656,187.62
135,2513,58.15
136,51935,6.38
137,32145,386.41
138,65752,356.28
139,94075,336.74
140,78938,120.14
141,50200,439.82
142,26687,176.03
143,8234,67.71
144,87023,199.03
145,64662,267.41
146,96809,70.54
147,13402,364.86
148,61299,129.15
149,38401,327.83
150,18851,137.28
151,45299,214.93
152,49960,28.97
153,12110,453.63
154,8210,171.25
155,41045,400.03
156,894,351.81
157,41251,14.34
158,58800,491.99
159,7863,350.97
160,17279,196.79
161,87084,420.32
162,46694,254.93
163,50967,86.61
164,34476,247.69
165,64392,115.27
166,80404,291.49
167,42550,389.29
168,55842,382.33
169,73212,328.3
170,60998,10.21
171,33039,42.34
172,31118,138.38
173,36132,431.08
174,28016,151.38
175,43964,217.04
176,85333,358.09
177,35017,213.28
178,29997,463.43
179,43734,256.48
180,59144,56.97
181,3557,253.71
182,16155,366.97
183,53008,452.03
184,4291,341.22
185,14616,65.23
186,14100,254.91
187,60819,134.96
188,28207,132.41
189,42267,197.96
190,62348,375.38
191,27001,301.18
192,798,162.57
193,91103,132.07
194,29843,122.19
195,60284,308.14
196,12314,105.84
197,92555,448.14
198,65888,19.46
199,74222,390.75
200,51558,454.15
201,52511,192.82
202,47067,126.16
203,94808,219.59
204,69140,278.45
205,67433,83.94
206,80781,318.65
207,77579,433.72
208,98256,163.74
209,88450,10.53
210,25490,405.7
211,38580,225.1
212,98652,281.65
213,90407,367.42
214,18434,66.21
215,40406,182.14
216,79640,274.86
217,45266,163.75
218,54817,130.92
219,97210,469.0
220,46514,178.6
221,80735,48.4
222,76316,332.89
223,54177,496.39
224,8080,480.92
225,30616,292.61
226,92232,242.21
227,84138,173.51
228,62580,337.56
229,43286,282.5
230,93000,339.81
231,21905,138.39
232,37124,306.31
233,53472,413.97
234,75674,298.71
235,52099,41.75
236,88977,114.91
237,99285,194.31
238,75355,429.99
239,65259,17.74
240,25119,141.74
241,63005,291.42
242,8137,319.37
243,53791,187.43
244,65379,159.75
245,14166,193.95
246,49061,141.27
247,61614,344.7
248,74863,343.2
249,16665,91.59
250,29618,10.54
251,3732,187.36
252,49773,238.35
253,36530,237.83
254,33779,154.34
255,90266,84.1
256,6922,331.7
257,66168,298.74
258,15382,432.53
259,54325,102.23
260,55637,191.31
261,79197,106.97
262,47683,54.29
263,11188,418.1
264,65146,16.07
265,83110,109.57
266,3584,37.62
267,98023,63.56
268,64040,100.92
269,37937,83.7
270,61426,35.63
271,79714,22.66
272,86541,158.86
273,21564,425.96
274,2800,361.71
275,25679,210.42
276,8657,291.8
277,19693,213.73
278,48684,197.29
279,42925,108.9
280,47868,430.36
281,60110,308.32
282,61987,451.41
283,27056,233.37
284,2724,40.73
285,96061,373.16
286,82865,445.73
287,17300,145.86
288,36997,180.21
289,66311,268.43
290,31664,46.85
291,64463,292.41
292,48306,186.44
293,11372,288.16
294,93385,266.7
295,86624,272.3
296,80274,376.71
297,24769,15.71
298,56351,230.4
299,73132,419.58
