user_id,name,signup_date
1,User_1,2020-01-02
2,User_2,2020-01-03
3,User_3,2020-01-04
4,User_4,2020-01-05
5,User_5,2020-01-06
6,User_6,2020-01-07
7,User_7,2020-01-08
8,User_8,2020-01-09
9,User_9,2020-01-10
10,User_10,2020-01-11
11,User_11,2020-01-12
12,User_12,2020-01-13
13,User_13,2020-01-14
14,User_14,2020-01-15
15,User_15,2020-01-16
16,User_16,2020-01-17
17,User_17,2020-01-18
18,User_18,2020-01-19
19,User_19,2020-01-20
20,User_20,2020-01-21
21,User_21,2020-01-22
22,User_22,2020-01-23
23,User_23,2020-01-24
24,User_24,2020-01-25
25,User_25,2020-01-26
26,User_26,2020-01-27
27,User_27,2020-01-28
28,User_28,2020-01-01
29,User_29,2020-01-02
30,User_30,2020-01-03
31,User_31,2020-01-04
32,User_32,2020-01-05
33,User_33,2020-01-06
34,User_34,2020-01-07
35,User_35,2020-01-08
36,User_36,2020-01-09
37,User_37,2020-01-10
38,User_38,2020-01-11
39,User_39,2020-01-12
40,User_40,2020-01-13
41,User_41,2020-01-14
42,User_42,2020-01-15
43,User_43,2020-01-16
44,User_44,2020-01-17
45,User_45,2020-01-18
46,User_46,2020-01-19
47,User_47,2020-01-20
48,User_48,2020-01-21
49,User_49,2020-01-22
50,User_50,2020-01-23
51,User_51,2020-01-24
52,User_52,2020-01-25
53,User_53,2020-01-26
54,User_54,2020-01-27
55,User_55,2020-01-28
56,User_56,2020-01-01
57,User_57,2020-01-02
58,User_58,2020-01-03
59,User_59,2020-01-04
60,User_60,2020-01-05
61,User_61,2020-01-06
62,User_62,2020-01-07
63,User_63,2020-01-08
64,User_64,2020-01-09
65,User_65,2020-01-10
66,User_66,2020-01-11
67,User_67,2020-01-12
68,User_68,2020-01-13
69,User_69,2020-01-14
70,User_70,2020-01-15
71,User_71,2020-01-16
72,User_72,2020-01-17
73,User_73,2020-01-18
74,User_74,2020-01-19
75,User_75,2020-01-20
76,User_76,2020-01-21
77,User_77,2020-01-22
78,User_78,2020-01-23
79,User_79,2020-01-24
80,User_80,2020-01-25
81,User_81,2020-01-26
82,User_82,2020-01-27
83,User_83,2020-01-28
84,User_84,2020-01-01
85,User_85,2020-01-02
86,User_86,2020-01-03
87,User_87,2020-01-04
88,User_88,2020-01-05
89,User_89,2020-01-06
90,User_90,2020-01-07
91,User_91,2020-01-08
92,User_92,2020-01-09
93,User_93,2020-01-10
94,User_94,2020-01-11
95,User_95,2020-01-12
96,User_96,2020-01-13
97,User_97,2020-01-14
98,User_98,2020-01-15
99,User_99,2020-01-16
100,User_100,2020-01-17
101,User_101,2020-01-18
102,User_102,2020-01-19
103,User_103,2020-01-20
104,User_104,2020-01-21
105,User_105,2020-01-22
106,User_106,2020-01-23
107,User_107,2020-01-24
108,User_108,2020-01-25
109,User_109,2020-01-26
110,User_110,2020-01-27
111,User_111,2020-01-28
112,User_112,2020-01-01
113,User_113,2020-01-02
114,User_114,2020-01-03
115,User_115,2020-01-04
116,User_116,2020-01-05
117,User_117,2020-01-06
118,User_118,2020-01-07
119,User_119,2020-01-08
120,User_120,2020-01-09
121,User_121,2020-01-10
122,User_122,2020-01-11
123,User_123,2020-01-12
124,User_124,2020-01-13
125,User_125,2020-01-14
126,User_126,2020-01-15
127,User_127,2020-01-16
128,User_128,2020-01-17
129,User_129,2020-01-18
130,User_130,2020-01-19
131,User_131,2020-01-20
132,User_132,2020-01-21
133,User_133,2020-01-22
134,User_134,2020-01-23
135,User_135,2020-01-24
136,User_136,2020-01-25
137,User_137,2020-01-26
138,User_138,2020-01-27
139,User_139,2020-01-28
140,User_140,2020-01-01
141,User_141,2020-01-02
142,User_142,2020-01-03
143,User_143,2020-01-04
144,User_144,2020-01-05
145,User_145,2020-01-06
146,User_146,2020-01-07
147,User_147,2020-01-08
148,User_148,2020-01-09
149,User_149,2020-01-10
150,User_150,2020-01-11
151,User_151,2020-01-12
152,User_152,2020-01-13
153,User_153,2020-01-14
154,User_154,2020-01-15
155,User_155,2020-01-16
156,User_156,2020-01-17
157,User_157,2020-01-18
158,User_158,2020-01-19
159,User_159,2020-01-20
160,User_160,2020-01-21
161,User_161,2020-01-22
162,User_162,2020-01-23
163,User_163,2020-01-24
164,User_164,2020-01-25
165,User_165,2020-01-26
166,User_166,2020-01-27
167,User_167,2020-01-28
168,User_168,2020-01-01
169,User_169,2020-01-02
170,User_170,2020-01-03
171,User_171,2020-01-04
172,User_172,2020-01-05
173,User_173,2020-01-06
174,User_174,2020-01-07
175,User_175,2020-01-08
176,User_176,2020-01-09
177,User_177,2020-01-10
178,User_178,2020-01-11
179,User_179,2020-01-12
180,User_180,2020-01-13
181,User_181,2020-01-14
182,User_182,2020-01-15
183,User_183,2020-01-16
184,User_184,2020-01-17
185,User_185,2020-01-18
186,User_186,2020-01-19
187,User_187,2020-01-20
188,User_188,2020-01-21
189,User_189,2020-01-22
190,User_190,2020-01-23
191,User_191,2020-01-24
192,User_192,2020-01-25
193,User_193,2020-01-26
194,User_194,2020-01-27
195,User_195,2020-01-28
196,User_196,2020-01-01
197,User_197,2020-01-02
198,User_198,2020-01-03
199,User_199,2020-01-04
200,User_200,2020-01-05
201,User_201,2020-01-06
202,User_202,2020-01-07
203,User_203,2020-01-08
204,User_204,2020-01-09
205,User_205,2020-01-10
206,User_206,2020-01-11
207,User_207,2020-01-12
208,User_208,2020-01-13
209,User_209,2020-01-14
210,User_210,2020-01-15
211,User_211,2020-01-16
212,User_212,2020-01-17
213,User_213,2020-01-18
214,User_214,2020-01-19
215,User_215,2020-01-20
216,User_216,2020-01-21
217,User_217,2020-01-22
218,User_218,2020-01-23
219,User_219,2020-01-24
220,User_220,2020-01-25
221,User_221,2020-01-26
222,User_222,2020-01-27
223,User_223,2020-01-28
224,User_224,2020-01-01
225,User_225,2020-01-02
226,User_226,2020-01-03
227,User_227,2020-01-04
228,User_228,2020-01-05
229,User_229,2020-01-06
230,User_230,2020-01-07
231,User_231,2020-01-08
232,User_232,2020-01-09
233,User_233,2020-01-10
234,User_234,2020-01-11
235,User_235,2020-01-12
236,User_236,2020-01-13
237,User_237,2020-01-14
238,User_238,2020-01-15
239,User_239,2020-01-16
240,User_240,2020-01-17
241,User_241,2020-01-18
242,User_242,2020-01-19
243,User_243,2020-01-20
244,User_244,2020-01-21
245,User_245,2020-01-22
246,User_246,2020-01-23
247,User_247,2020-01-24
248,User_248,2020-01-25
249,User_249,2020-01-26
250,User_250,2020-01-27
251,User_251,2020-01-28
252,User_252,2020-01-01
253,User_253,2020-01-02
254,User_254,2020-01-03
255,User_255,2020-01-04
256,User_256,2020-01-05
257,User_257,2020-01-06
258,User_258,2020-01-07
259,User_259,2020-01-08
260,User_260,2020-01-09
261,User_261,2020-01-10
262,User_262,2020-01-11
263,User_263,2020-01-12
264,User_264,2020-01-13
265,User_265,2020-01-14
266,User_266,2020-01-15
267,User_267,2020-01-16
268,User_268,2020-01-17
269,User_269,2020-01-18
270,User_270,2020-01-19
271,User_271,2020-01-20
272,User_272,2020-01-21
273,User_273,2020-01-22
274,User_274,2020-01-23
275,User_275,2020-01-24
276,User_276,2020-01-25
277,User_277,2020-01-26
278,User_278,2020-01-27
279,User_279,2020-01-28
280,User_280,2020-01-01
281,User_281,2020-01-02
282,User_282,2020-01-03
283,User_283,2020-01-04
284,User_284,2020-01-05
285,User_285,2020-01-06
286,User_286,2020-01-07
287,User_287,2020-01-08
288,User_288,2020-01-09
289,User_289,2020-01-10
290,User_290,2020-01-11
291,User_291,2020-01-12
292,User_292,2020-01-13
293,User_293,2020-01-14
294,User_294,2020-01-15
295,User_295,2020-01-16
296,User_296,2020-01-17
297,User_297,2020-01-18
298,User_298,2020-01-19
299,User_299,2020-01-20
300,User_300,2020-01-21
301,User_301,2020-01-22
302,User_302,2020-01-23
303,User_303,2020-01-24
304,User_304,2020-01-25
305,User_305,2020-01-26
306,User_306,2020-01-27
307,User_307,2020-01-28
308,User_308,2020-01-01
309,User_309,2020-01-02
310,User_310,2020-01-03
311,User_311,2020-01-04
312,User_312,2020-01-05
313,User_313,2020-01-06
314,User_314,2020-01-07
315,User_315,2020-01-08
316,User_316,2020-01-09
317,User_317,2020-01-10
318,User_318,2020-01-11
319,User_319,2020-01-12
320,User_320,2020-01-13
321,User_321,2020-01-14
322,User_322,2020-01-15
323,User_323,2020-01-16
324,User_324,2020-01-17
325,User_325,2020-01-18
326,User_326,2020-01-19
327,User_327,2020-01-20
328,User_328,2020-01-21
